timestamp,value_CVS,value_CRM,value_GOOG,value_UPS,value_IBM,value_AMZN,value_KO,value_FB,value_AAPL,value_PFE
2015-02-26 21:42:53,0,11,35.0,2,7,57.0,8.0,53.0,104,3
2015-02-26 21:47:53,0,10,41.0,2,4,43.0,8.0,64.0,100,2
2015-02-26 21:52:53,0,3,32.0,4,14,55.0,5.0,49.0,99,2
2015-02-26 21:57:53,0,4,36.0,3,6,64.0,13.0,48.0,154,36
2015-02-26 22:02:53,0,9,32.0,5,1,93.0,22.0,22.0,120,8
2015-02-26 22:07:53,0,2,25.0,1,9,104.0,17.0,23.0,90,4
2015-02-26 22:12:53,0,4,33.0,1,7,89.0,12.0,17.0,92,1
2015-02-26 22:17:53,0,7,20.0,2,11,87.0,7.0,35.0,71,3
2015-02-26 22:22:53,0,5,38.0,8,9,57.0,10.0,23.0,339,2
2015-02-26 22:27:53,1,10,28.0,4,14,68.0,13.0,39.0,178,0
2015-02-26 22:32:53,1,4,28.0,2,7,64.0,6.0,26.0,144,1
2015-02-26 22:37:53,0,6,27.0,3,6,61.0,10.0,33.0,143,1
2015-02-26 22:42:53,1,6,30.0,1,6,73.0,17.0,51.0,179,1
2015-02-26 22:47:53,0,2,31.0,5,11,79.0,8.0,41.0,245,1
2015-02-26 22:52:53,0,2,38.0,4,8,80.0,7.0,34.0,166,1
2015-02-26 22:57:53,0,9,35.0,6,13,76.0,11.0,38.0,139,1
2015-02-26 23:02:53,0,10,33.0,1,6,49.0,11.0,45.0,112,1
2015-02-26 23:07:53,1,4,24.0,3,6,59.0,10.0,42.0,95,1
2015-02-26 23:12:53,1,5,28.0,9,3,55.0,6.0,39.0,70,0
2015-02-26 23:17:53,1,4,20.0,4,6,48.0,7.0,40.0,74,1
2015-02-26 23:22:53,0,4,35.0,2,5,41.0,16.0,24.0,88,0
2015-02-26 23:27:53,0,6,29.0,4,4,49.0,5.0,36.0,75,3
2015-02-26 23:32:53,1,5,24.0,1,6,63.0,11.0,18.0,77,0
2015-02-26 23:37:53,0,2,24.0,4,5,36.0,9.0,25.0,110,0
2015-02-26 23:42:53,0,1,33.0,6,5,42.0,22.0,21.0,83,0
2015-02-26 23:47:53,0,5,36.0,4,4,50.0,4.0,13.0,66,1
2015-02-26 23:52:53,4,5,18.0,5,2,35.0,14.0,7.0,59,0
2015-02-26 23:57:53,2,9,28.0,6,4,41.0,21.0,18.0,64,1
2015-02-27 00:02:53,1,3,20.0,2,5,39.0,9.0,18.0,72,2
2015-02-27 00:07:53,0,5,59.0,4,5,48.0,9.0,28.0,71,1
2015-02-27 00:12:53,1,1,41.0,2,1,31.0,6.0,14.0,53,0
2015-02-27 00:17:53,1,3,97.0,1,6,35.0,7.0,25.0,61,1
2015-02-27 00:22:53,0,2,61.0,2,3,32.0,7.0,26.0,73,0
2015-02-27 00:27:53,2,1,105.0,2,6,36.0,6.0,15.0,71,1
2015-02-27 00:32:53,2,0,52.0,6,8,37.0,15.0,16.0,66,0
2015-02-27 00:37:53,1,3,30.0,6,3,62.0,10.0,20.0,42,2
2015-02-27 00:42:53,1,2,23.0,3,10,41.0,7.0,13.0,59,0
2015-02-27 00:47:53,0,3,26.0,4,7,51.0,6.0,19.0,39,0
2015-02-27 00:52:53,0,1,43.0,3,3,65.0,9.0,13.0,49,1
2015-02-27 00:57:53,0,5,24.0,4,6,39.0,8.0,17.0,51,0
2015-02-27 01:02:53,1,2,41.0,5,8,56.0,13.0,14.0,44,1
2015-02-27 01:07:53,0,7,24.0,2,11,42.0,7.0,24.0,45,1
2015-02-27 01:12:53,0,4,33.0,8,6,62.0,5.0,19.0,36,0
2015-02-27 01:17:53,0,7,20.0,4,1,46.0,7.0,8.0,36,0
2015-02-27 01:22:53,0,1,21.0,5,2,46.0,16.0,10.0,34,0
2015-02-27 01:27:53,0,5,34.0,6,6,62.0,7.0,9.0,45,0
2015-02-27 01:32:53,1,1,39.0,4,5,41.0,12.0,17.0,45,0
2015-02-27 01:37:53,0,0,41.0,6,5,40.0,10.0,9.0,42,0
2015-02-27 01:42:53,0,3,48.0,9,9,47.0,7.0,16.0,61,0
2015-02-27 01:47:53,0,2,28.0,7,6,48.0,9.0,17.0,50,0
2015-02-27 01:52:53,0,2,32.0,5,2,43.0,11.0,17.0,43,0
2015-02-27 01:57:53,1,5,26.0,6,4,41.0,26.0,22.0,46,1
2015-02-27 02:02:53,0,0,18.0,6,8,55.0,13.0,13.0,41,0
2015-02-27 02:07:53,0,2,17.0,5,8,90.0,7.0,13.0,61,1
2015-02-27 02:12:53,0,2,25.0,2,10,79.0,9.0,15.0,171,1
2015-02-27 02:17:53,0,2,25.0,1,2,57.0,10.0,7.0,95,1
2015-02-27 02:22:53,0,5,32.0,2,3,43.0,14.0,29.0,60,0
2015-02-27 02:27:53,2,4,94.0,2,2,39.0,22.0,62.0,65,1
2015-02-27 02:32:53,0,0,39.0,3,2,57.0,6.0,26.0,55,0
2015-02-27 02:37:53,0,2,23.0,4,9,56.0,8.0,28.0,58,1
2015-02-27 02:42:53,1,2,73.0,4,6,102.0,6.0,85.0,51,0
